ip	count
--------------
1	19
2	4
3	0
4	3
5	21
6	0
7	0
8	4
9	0
10	1
11	0
12	6
13	0
14	10
15	1
16	0
17	0
18	1
19	0
20	0
21	0
22	0
23	18
24	12
25	0
26	0
27	21
28	0
29	0
30	0
31	15
32	2
33	0
34	1
35	0
36	8
37	26
38	6
39	0
40	0
41	32
42	9
43	0
44	0
45	0
46	47
47	2
48	0
49	13
50	25
51	0
52	0
53	0
54	25
55	0
56	0
57	0
58	52
59	38
60	45
61	80
62	42
63	7
64	43
65	19
66	34
67	28
68	15
69	26
70	13
71	12
72	16
73	1
74	19
75	12
76	12
77	30
78	27
79	27
80	32
81	31
82	26
83	25
84	19
85	32
86	17
87	33
88	34
89	33
90	4
91	53
92	13
93	32
94	41
95	39
96	13
97	2
98	6
99	3
100	1
101	11
102	0
103	16
104	0
105	2
106	7
107	7
108	13
109	27
110	22
111	24
112	33
113	40
114	33
115	44
116	24
117	21
118	44
119	46
120	36
121	47
122	48
123	42
124	48
125	44
126	1
127	0
128	33
129	8
130	20
131	3
132	5
133	2
134	2
135	0
136	0
137	4
138	4
139	2
140	12
141	7
142	4
143	2
144	2
145	0
146	4
147	5
148	5
149	3
150	3
151	4
152	5
153	3
154	1
155	5
156	1
157	1
158	0
159	4
160	2
161	2
162	10
163	5
164	5
165	2
166	3
167	2
168	5
169	0
170	0
171	9
172	2
173	41
174	15
175	20
176	14
177	31
178	31
179	5
180	26
181	10
182	20
183	30
184	19
185	6
186	47
187	48
188	31
189	55
190	79
191	2
192	24
193	24
194	22
195	45
196	12
197	7
198	23
199	31
200	68
201	50
202	64
203	59
204	16
205	10
206	12
207	14
208	26
209	30
210	47
211	56
212	50
213	47
214	0
215	0
216	41
217	50
218	64
219	46
220	42
221	49
222	64
223	15
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
